timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,rsi,macd,macd_signal,macd_diff,bb_high,bb_low,bb_mid,bb_high_indicator,bb_low_indicator,atr,ema12,ema26,sma27,sma200
1626739200.0,30839.65,31063.07,29278.0,29790.35,61034.049017,1626825599.999,1821230700.02039109,1062139,28424.82505000,847855259.13993829,34.284038413449736,-1215.3727969540341,-1018.5164980921338,-196.8562988619003,35675.06384582895,30255.081154171054,32965.0725,0.0,1.0,1865.207282971101,31955.67368992904,33171.046486883075,33258.688888888886,44637.09925
1626825600.0,29790.34,32858.0,29482.61,32144.51,82796.265128,1626911999.999,2603140706.08222436,1415058,42584.67221900,1338356405.54193175,45.845892762049026,-1110.281317173998,-1036.8694619085068,-73.41185526549134,35617.721389585495,30176.405610414513,32897.063500000004,0.0,0.0,1973.0774770445937,31984.725429939957,33095.006747113955,33165.40814814815,44636.93015000001
1626912000.0,32144.51,32591.35,31708.0,32287.83,46148.092433,1626998399.999,1482763544.95053643,1000742,23274.51280500,747848528.87672003,46.46342933335853,-1003.8589747004808,-1030.2673644669017,26.408389766420896,35523.14834045047,30121.10665954952,32822.127499999995,0.0,0.0,1895.239800112837,32031.356902256884,33035.215876957365,33191.45925925926,44633.36905
1626998400.0,32287.58,33650.0,31924.32,33634.09,50112.863626,1627084799.999,1631947003.07304657,1394786,25018.97707900,815391041.19337381,52.0004400439348,-801.6456981220799,-984.5430311979374,182.89733307585743,35365.44264283306,30175.30835716693,32770.375499999995,0.0,0.0,1883.128385819063,32277.931224986594,33079.576923108674,33241.47555555555,44641.59595000001
1627084800.0,33634.1,34500.0,33401.14,34258.14,47977.550138,1627171199.999,1625046258.43655218,1196914,23937.61781400,810983258.04245942,54.35697746091628,-584.2991629324824,-904.4942575448464,320.19509461236396,35148.01033500867,30289.90366499133,32718.957000000002,0.0,0.0,1827.1092154034156,32582.578728834807,33166.87789176729,33225.09777777778,44643.138999999996
1627171200.0,34261.51,35398.0,33851.12,35381.02,47852.928313,1627257599.999,1646935552.80554462,1245775,24632.14930000,848320775.42419001,58.3219744584221,-317.7802631351369,-787.1514586629046,469.37119552776767,35468.155940488316,30138.846059511692,32803.501000000004,0.0,0.0,1807.0928428746,33013.10815516791,33330.888418303046,33257.91740740741,44636.19730000001
1627257600.0,35381.02,40550.0,35205.78,37237.6,152452.512724,1627343999.999,5832475057.06567638,3330102,77191.34607500,2953296773.15355035,63.90512138285868,42.755516058059584,-621.1700637187118,663.9255797767714,36200.95942199339,29707.801578006605,32954.3805,1.0,0.0,2059.7447826692714,33663.02997744977,33620.27446139171,33307.02370370371,44625.223900000005
1627344000.0,37241.33,39542.61,36383.0,39457.87,88397.267015,1627430399.999,3335658261.99554664,1938478,45137.30343900,1703810516.33785954,69.21607719554471,501.8548813398156,-396.5650747070064,898.419956046822,37537.82080331218,28930.515196687815,33234.168,1.0,0.0,2138.306583907181,34554.543827072885,34052.68894573307,33470.46333333333,44619.5992
1627430400.0,39456.61,40900.0,38772.0,40019.56,101344.528441,1627516799.999,4040889461.66152784,2631048,49019.13627600,1954994215.00461230,70.4025478841804,900.6361517874611,-137.12482940811287,1037.760981195574,38806.117638583906,28376.603361416084,33591.360499999995,1.0,0.0,2137.570399342382,35395.31554598475,34494.67939419729,33711.75481481481,44619.2559
1627516800.0,40019.57,40640.0,39200.0,40016.48,53998.439283,1627603199.999,2154190697.34531810,1428738,26700.92624400,1065505374.50525061,70.38652792877836,1202.5622622317678,130.81258891986326,1071.7496733119046,39822.168065286474,27980.61993471353,33901.394,1.0,0.0,2087.7439422464977,36106.263923525556,34903.70166129379,33942.49296296296,44628.588200000006
