date,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_high,bb_low,bb_mid,bb_high_indicator,bb_low_indicator
1585958400000.0,6732.97,6990.41,6856.99,6650.01,72990.861139,52.89827455088006,-144.6840040619818,-337.03144365392774,192.34743959194594,7108.4124790181595,4710.864520981839,5909.638499999999,0.0,0.0
1586044800000.0,6857.41,6895.54,6772.78,6677.52,49685.356983,53.26459157556346,-102.13783383248847,-290.0527216896399,187.91488785715143,7057.890632605782,4984.926367394217,6021.4085,0.0,0.0
1586131200000.0,6772.78,7355.14,7329.9,6765.0,118052.000832,54.4770138220982,-60.661514321262985,-244.17448021596454,183.51296589470155,7066.95495723326,5160.217042766741,6113.586,0.0,0.0
1586217600000.0,7329.9,7459.69,7197.32,7077.0,103585.168918,58.601958711103826,-2.58563419912025,-195.8567110125957,193.27107681347545,7115.820181252625,5318.114818747376,6216.967500000001,0.0,0.0
1586304000000.0,7197.32,7420.0,7361.28,7150.0,76059.145838,59.526052229603124,48.76823922078256,-146.93172096592005,195.6999601867026,7183.628938386412,5440.053061613588,6311.841,0.0,0.0
1586390400000.0,7360.26,7371.92,7283.54,7108.08,61094.872417,58.715516592677204,85.10294643898851,-100.52478748493834,185.62773392392685,7269.0363666245885,5498.453633375413,6383.745000000001,0.0,0.0
1586476800000.0,7283.54,7295.75,6858.92,6739.98,104674.623375,52.01753392841659,83.2363729325798,-63.772555401434715,147.0089283340145,7291.757240463681,5563.72875953632,6427.743,0.0,0.0
1586563200000.0,6858.92,6944.3,6876.83,6760.0,45470.293206,52.3360010104302,82.42243217476607,-34.53355788619456,116.95599006096063,7292.565640835607,5665.519359164392,6479.0425,0.0,0.0
1586649600000.0,6876.84,7177.0,6903.79,6780.0,73868.666501,52.67393585758372,82.44088392092544,-11.13866952477056,93.579553445696,7270.433309304128,5796.851690695872,6533.6425,0.0,0.0
1586736000000.0,6903.79,6903.79,6837.91,6575.0,96415.476573,48.85077551716721,65.16256681126833,4.1215777424372195,61.04098906883112,7276.982805203383,5810.669194796616,6543.825999999999,0.0,0.0
1586822400000.0,6838.04,6978.0,6868.7,6754.28,69068.623285,52.12351661949127,65.18436888420092,16.334135970789962,48.85023291341096,7296.393749159812,5821.686250840186,6559.039999999999,0.0,0.0
1586908800000.0,6868.57,6933.0,6621.24,6605.0,61571.384994,49.295177389115835,52.550232401349604,23.57735525690189,28.972877144447715,7301.042861235567,5826.537138764431,6563.789999999999,0.0,0.0
1586995200000.0,6621.25,7190.0,7101.94,6468.27,125009.857539,46.790770682920034,31.145592907364517,25.091002786994416,6.054590120370101,7299.826036431573,5848.480963568428,6574.1535,0.0,0.0
1587081600000.0,7101.99,7148.12,7027.55,6972.98,54126.509763,55.73124417382416,54.28240705985536,30.929283641566606,23.353123418288753,7320.797566083158,5922.40743391684,6621.602499999999,0.0,0.0
1587168000000.0,7026.78,7293.08,7248.6,7014.4,49488.542819,56.379015739067796,75.09509726981378,39.76244636721604,35.332650902597734,7305.523440767331,6052.465559232667,6678.994499999999,0.0,0.0
1587254400000.0,7248.6,7266.15,7120.74,7055.6,45664.86393,57.05220509297001,93.83216114063907,50.57638932190065,43.255771818738424,7260.107591947588,6217.665408052413,6738.8865000000005,0.0,0.0
1587340800000.0,7121.4,7220.0,6826.83,6751.0,90149.49137,50.80909998290929,83.14430906062262,57.08997326964504,26.054335790977575,7245.130583788225,6275.602416211777,6760.366500000001,0.0,0.0
1587427200000.0,6828.98,6940.0,6841.37,6762.0,60109.710808,51.01755681094556,74.70061516248279,60.612101648212594,14.088513514270197,7186.902987816443,6395.019012183558,6790.961,0.0,0.0
1587513600000.0,6841.36,7156.38,7125.14,6818.0,61486.377334,52.12974210635077,71.7011328757635,62.829907893722776,8.87122498204073,7184.688618842166,6423.9333811578335,6804.311,0.0,0.0
1587600000000.0,7125.12,7738.0,7482.39,7020.0,102773.569561,56.00982021307619,84.64796432775529,67.19351918052928,17.45444514722601,7204.767879086977,6445.6441209130235,6825.206,0.0,0.0
1587686400000.0,7483.96,7615.96,7505.0,7388.0,60182.119939,62.04541507113819,123.18296943313089,78.39140923104961,44.791560202081286,7304.631902894831,6419.57909710517,6862.105500000001,1.0,0.0
1587772800000.0,7505.0,7705.0,7538.67,7431.07,43874.427726,62.6906147938713,155.40620170163766,93.79436772516722,61.611833976470436,7397.860303562448,6401.705696437552,6899.783,1.0,0.0
1587859200000.0,7539.03,7700.0,7693.1,7480.0,50522.616209,63.450754415225326,182.78456086697406,111.59240635352859,71.19215451344547,7489.307152813257,6381.758847186744,6935.533,0.0,0.0
1587945600000.0,7693.1,7792.02,7774.62,7606.0,65441.339576,65.40538117429095,212.20310937694376,131.71454695821163,80.48856241873213,7586.298640941375,6337.667359058625,6961.983,1.0,0.0
1588032000000.0,7773.51,7780.0,7738.98,7659.12,46302.752638,66.22544427784595,237.07105354427586,152.78584827542448,84.28520526885137,7678.31374166888,6296.564258331121,6987.439,0.0,0.0
1588118400000.0,7738.58,8952.89,8778.57,7710.05,183546.887514,67.0323576379017,257.91561317914693,173.811801256169,84.10381192297794,7775.961333456625,6259.113666543376,7017.5375,0.0,0.0
1588204800000.0,8778.58,9460.0,8620.0,8401.0,206277.214124,75.56243280909597,326.4261301218039,204.33466702929599,122.09146309250792,8057.1463400551875,6144.030659944814,7100.588500000001,1.0,0.0
1588291200000.0,8620.0,9059.18,8826.96,8613.56,91468.815059,77.49184275234975,393.3388584373133,242.13550531089948,151.20335312641384,8340.115444426008,6046.417555573993,7193.266500000001,1.0,0.0
1588377600000.0,8825.67,9010.0,8972.05,8753.0,59002.08755,78.680960066397,452.4042853689816,284.1892613225159,168.21502404646571,8606.728687930678,5977.104312069326,7291.916500000001,1.0,0.0
1588464000000.0,8972.58,9200.0,8894.16,8712.0,90126.065643,77.386375472981,490.25435734827806,325.4022805276684,164.85207682060968,8807.168777522675,5990.3642224773275,7398.766500000001,0.0,0.0
1588550400000.0,8894.15,8950.0,8871.96,8522.0,84418.512331,71.51409414855702,499.1653327468912,360.154890971513,139.01044177537818,8943.726138617374,6030.578861382627,7487.152500000001,0.0,0.0
1588636800000.0,8871.92,9118.58,9021.83,8760.0,76480.765342,74.15927340110449,519.4441273441307,392.0127382460366,127.43138909809414,9092.752979759265,6097.052020240736,7594.902500000001,0.0,0.0
1588723200000.0,9021.36,9395.0,9142.92,8906.21,105925.30242,75.65489435158472,541.0759564178188,421.825381880393,119.25057453742579,9224.833272559175,6208.765727440822,7716.799499999999,0.0,0.0
1588809600000.0,9143.4,10067.0,9986.4,9021.0,147154.611378,76.79066633913109,561.0148999209305,449.6632854885005,111.35161443242998,9388.199001942901,6250.201998057099,7819.200500000001,0.0,0.0
1588896000000.0,9986.3,10035.96,9800.01,9705.0,100683.7964,82.13808547233481,624.8073496749839,484.6920983257972,140.11525134918674,9677.409761747695,6230.0512382523075,7953.730500000001,1.0,0.0
